School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,type,state
Virginia Commonwealth University (VCU),State,"$42,000.00 ","$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 ",public,VA
University of Wisconsin (UW) - Stout,State,"$43,600.00 ","$68,300.00 ","$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 ",public,WI
East Carolina University (ECU),State,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 ",public,NC
Utah Valley State College,State,"$42,400.00 ","$67,100.00 ","$27,000.00 ","$44,100.00 ","$84,900.00 ","$110,000.00 ",public,UT
University of Missouri - St. Louis (UMSL),State,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 ",public,MO
Western Carolina University,State,"$36,900.00 ","$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 ",public,NC
University of Wisconsin (UW) - Oshkosh,State,"$39,300.00 ","$66,400.00 ","$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 ",public,WI
public of New York (SUNY) at Fredonia,State,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 ",public,NY
University of Missouri - Kansas City (UMKC),State,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 ",public,MO
University of Wisconsin (UW) - Eau Claire,State,"$41,400.00 ","$64,800.00 ","$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 ",public,WI
Ball public (BSU),State,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 ",public,IN
University of North Carolina at Wilmington (UNCW),State,"$37,500.00 ","$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 ",public,NC
University of Wisconsin (UW) - Stevens Point,State,"$39,800.00 ","$64,000.00 ","$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 ",public,WI
University of Southern Maine,State,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 ",public,ME
Arkansas public (ASU),State,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 ",public,AR
Kent public,State,"$38,700.00 ","$62,600.00 ","$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 ",public,OH
Tarleton public (TSU),State,"$40,800.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 ",public,TX
University of Wisconsin (UW) - Green Bay,State,"$35,800.00 ","$60,600.00 ","$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 ",public,WI
Morehead public,State,"$34,800.00 ","$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 ",public,KY
Austin Peay public,State,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 ",public,TN
Pittsburg public,State,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 ",public,KS
Southern Utah University,State,"$41,900.00 ","$56,500.00 ","$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 ",public,UT
Montana public - Billings,State,"$37,900.00 ","$50,600.00 ","$22,600.00 ","$31,800.00 ","$78,500.00 ","$98,900.00 ",public,MT
Black Hills public,State,"$35,300.00 ","$43,900.00 ","$27,000.00 ","$32,200.00 ","$60,900.00 ","$87,600.00 ",public,SD
